,0
0,Adıyaman
1,Afyonkarahisar
2,Ağrı
3,Aksaray
4,Amasya
5,Ankara
6,Antalya
7,Ardahan
8,Artvin
9,Aydın
10,Bakıkesir
11,Bartın
12,Batman
13,Bayburt
14,Bilecik
15,Bingöl
16,Bitlis
17,Bolu
18,Burdur
19,Bursa
20,Çanakkale
21,Çankırı
22,Çorum
23,Denizli
24,Diyarbakır
25,Düzce
26,Edirne
27,Elazığ
28,Erzincan
29,Erzurum
30,Eskişehir
31,Gaziantep
32,Giresun
33,Gümüşhane
34,Hakkari
35,Hatay
36,Iğdır
37,Isparta
38,İzmir
39,Kahramanmaraş
40,Karabük
41,Karaman
42,Kars
43,Kastamonu
44,Kayseri
45,Kilis
46,Kırıkkale
47,Kırklareli
48,Kırşehir
49,Kocaeli
50,Konya
51,Kütahya
52,Malatya
53,Manisa
54,Mardin
55,Mersin
56,Muğla
57,Muş
58,Nevşehir
59,Niğde
60,Ordu
61,Osmaniye
62,Rize
63,Sakarya
64,Şanlıurfa
65,Siirt
66,Sinop
67,Şırnak
68,Sivas
69,Tekirdağ
70,Tokat
71,Tunceli
72,Uşak
73,Van
74,Yalova
75,Yozgat
76,Zonguldak
